id;tweet;label;new_label
59555;I don't care how threatened you feel, you can't go throwing respect for human rights and due process out the window and just blow a kid away to defend your shit. But this is america the free country founded on genocide and slavery where they hold people in prison camps for years without trial and property is worth more than life so;0;0
59561;Yes, in barbaric, authoritarian cultures that have since been condemned. Interesting that Christians desire to perpetuate the same idea.;0;0
59564;His jew lawyer also had sexual charges against him;0;0
59571;Nice non-answer but I forgot that you're not even American. You think those poor kids would have rather been murdered in the womb instead of allowed to live? Are you poor?;0;0
59980;Get back under that house in Gaza and dig out your mother.;0;1
59981;A Muslim is a brother of a Muslim.;0;0
59989;@user They didn't steal anything. When Israel was attacked by Muslim armies they left instead of staying and fighting.;1;0
59990;Brown woman says hi.. I hope that's cool with you Ã°Å¸Ëœâ€š;0;0
60396;Tbh that's pretty good, I think the only reason this happened to me or anyone were i live is simply the way alot of people are raised. Its honestly very sad because people dont relize especially other teenagers that supporting gay people doesnt make you gay or whatever.;0;0
60397;@user Go back to where you came from then immigrant Ã°Å¸ËœÂ¡Ã°Å¸ËœÂ¡Ã°Å¸ËœÂ¡Ã°Å¸ËœÂ¡;0;1
56915;Ok retarded atheist;1;1
56966;STOP SUCKING THAT FATASS' DICK, YOU NIGGERLOVING KIKE;1;1
57062;America is a land of Evil, sodomy and pedophilia.;0;1
57091;Stfu dumbass your probably 12 faggot;1;1
57132;Why do so many filthy wetback half-breed spic savages live in #LosAngeles? None of them have any right at all to be here.;1;1
57247;Fuck you fuck you you stupid cheating bitch go lick a dick and die ur a stupid nigger bitch;1;1
62412;They all need to be Kicked, taken out of our country. Obama brought them all in Illegally. Send the Trash back to there own country;0;1
62490;My God look at these BARBARIC PPL. And these pigs all watching. They r a very, very sick culture. And Omar and Rashid want this crap here. This is America not the Middle East. Round them up and send them home.;1;1
62521;And probably a nigger;1;1
62573;Every gook in #LosAngeles should be deported or killed.;1;1
36220;Every slant in #LosAngeles should be deported. Those scum have no right to be here. Chinatown should be bulldozed.;1;1
36235;ayo i even kill handicapped and crippled bitches/look at my scalp real close and you'll see triple sixes;1;1
36270;gag on my dick pussy;1;1
36509;ET RID OF THOSE FUCKING MUSLIMS! the nasty ones that won't assimilate, rape women, beat children, threaten democracy, plan terror attacks, assault innocent secular people and force their disgusting religion on everyone else by way of violence. Assimilate OR GET THE FUCK OUT OR BE PREPARED TO DIE!;1;1
36507;The left is disgusting. Those sick freaks definitely push homosexuality and gay weird stuff on children like lgbtq or whatever the fuck that means. How is this even legal what they are doing? Same way how they make all that nasty porn and Hollywood always depicting faggots, lesbians and interracial shit. They are promoting it. They are filth. Something needs to be done about these people.;1;1
36632;Hey ,muslim dickhead !!!!!!!! Why dont you go and shove Allah or whatever the fuck you call the retard up your stupid backwards ass !!!!!!!!! You fucking muslims are a bunch of jealous west hating mongs, Islam is a peaceful religion, BULLSHIT !!!!!!! There are many times when it refers to violence. So go strap on your suicide bomb and blow yourself up. yey, one less feeble minded prick ion the world.;1;1
36479;@user @user Not by illiterate baby rapists like you and your prophet;1;1
36355;"@user: No need to thank me, killing niggers is it's own reward.""  Dis my pal from our graduation when we was 26";1;1
